Material Formula,Structure Type,Disorder Type,Data Points,Assessment,Method,DOI,Notes
MgAl2O4,Spinel,"A/B inversion parameter x (0=normal, 1=inverse)","(x=0.05, 25); (x=0.10, 400); (x=0.15, 600); (x=0.20, 800); (x=0.25, 1000); (x=0.30, 1200); (x=0.35, 1600)",Disorder increases continuously with T; O'Neill-Navrotsky model: alpha=32.5 kJ/mol,In situ neutron Rietveld,10.2138/am-1999-0313,Redfern et al. Am. Mineral. 1999; in situ TOF neutron under vacuum
MgAl2O4,Spinel,"A/B inversion parameter x (0=normal, 1=inverse)","(x=0.05, 25); (x=0.29, 1260)",Disorder increases with T; consistent with Redfern,In situ neutron Rietveld,no-doi-pre-1995,"Peterson, Lager & Hitterman, Am. Mineral. 76, 1455 (1991)"
MgAl2O4,Spinel,"A/B inversion parameter x (0=normal, 1=inverse)","(x=0.40, 1327 at 3.2 GPa)",Pressure promotes inversion beyond ambient-pressure equilibrium,In situ neutron under pressure,10.2138/am-2004-0708,Meducin et al. Am. Mineral. 2004
MgAl2O4,Spinel,"A/B inversion parameter x (0=normal, 1=inverse)","(x=0.19, 1200); (x=0.13, 1500)",Mechanical activation gives different quenched disorder than conventional synthesis,Neutron Rietveld (quenched),10.3390/ma15186422,Corlett et al. Materials 2022
MgGa2O4,Spinel,"A/B inversion parameter x (0=normal, 1=inverse)","(x=0.88, unknown)",Largely inverse at all accessible T; inverse ground state,Neutron Rietveld,10.1007/s002690050006,"Millard & Peterson, Phys. Chem. Minerals"
MgGa2O4,Spinel,"A/B inversion parameter x (0=normal, 1=inverse)","(x=0.82, unknown)",Largely inverse,Single-crystal XRD,10.1016/0025-5408(96)00009-8,"Sawada, Mater. Res. Bull. 1996"
MgIn2O4,Spinel,"A/B inversion parameter x (0=normal, 1=inverse)","(x=1.0, unknown)",Fully inverse at all T; In3+ too large for tetrahedral site,XRD,10.1111/j.1151-2916.1967.tb15002.x,Datta & Roy 1967
ZnAl2O4,Spinel,"A/B inversion parameter x (0=normal, 1=inverse)","(x=0.01, 900); (x=0.03, 1100); (x=0.05, 1300)",Very strongly normal at all T; alpha(Zn-Al)=89 kJ/mol; Zn2+ d10 strongly prefers tet,XRD Rietveld (quenched),10.1007/BF00211850,"O'Neill & Dollase, Phys. Chem. Minerals 1994"
ZnGa2O4,Spinel,"A/B inversion parameter x (0=normal, 1=inverse)","(x~0.00, unknown)",Normal spinel in bulk; elevated inversion only in nanoparticles (surface effect),XRD Rietveld,10.1021/acsanm.4c05782,Bulk well-annealed; ACS Appl. Nano Mater. 2024 for nano data
MgTiO3,Ilmenite,Mg/Ti antisite fraction,no disorder detected at any T,No disordering expected; fully ordered to 1820 K (near melting); no order-disorder transition,In situ neutron Rietveld + Raman,10.2174/1874456700903010001,Henderson 2009 (neutron to 1305 K); Reynard & Guyot 1994 (Raman to 1820 K)
ZnTiO3,Ilmenite,Zn/Ti antisite fraction,no disorder detected,Fully ordered; LiNbO3-type (R3c) also ordered,Synchrotron XRD Rietveld,10.1021/ja408931v,Inaguma et al. JACS 2014
MgSiO3,Ilmenite,Mg/Si antisite fraction,no disorder detected,No disordering expected; Mg2+/Si4+ size difference too large for antisite formation,Single-crystal XRD,no-doi-pre-1995,"Horiuchi et al. Am. Min. 67, 788 (1982)"
MgGeO3,Ilmenite,Mg/Ge antisite fraction,no disorder detected under compression,Fully ordered; no disorder induced by pressure,Single-crystal XRD under pressure,10.2138/am.2005.1621,Yamanaka et al. Am. Min. 2005
ZnGeO3,Ilmenite,Zn/Ge antisite fraction,no disorder detected,Completely ordered,Single-crystal XRD (R=0.020),10.1524/zkri.1990.191.1-2.93,Ross & Leinenweber 1990
ZnSnO3,Ilmenite,Zn/Sn antisite fraction,no disorder detected,Ordered LiNbO3-type (R3c); polar; similar ionic radii could allow mixing but none detected,XRD Rietveld,10.1021/ja801843v,Inaguma et al. JACS 2008
La2Zr2O7,Pyrochlore,A/B antisite fraction,"(x~0.00, 25)",Most ordered zirconate; disordering enthalpy 90-140 kJ/mol; ordered to high T,In situ synchrotron XRD Rietveld,10.1038/s41598-018-28877-x,Shamblin et al. Sci. Rep. 2018
La2Hf2O7,Pyrochlore,A/B antisite fraction,"(x~0.00, 25)",Most ordered hafnate; no measurable antisites,TEM + XRD,10.1016/j.jssc.2012.07.032,Aughterson et al. 2013
Y2Ti2O7,Pyrochlore,A/B antisite fraction,"(x=0.015, 25)",~1.5% cation antisites; x(48f)=0.3281; disorder increases with Zr substitution,Neutron Rietveld,10.1006/jssc.1995.1253,Heremans & Wuensch 1995
Y2Sn2O7,Pyrochlore,A/B antisite fraction,"(x~0.00, 25)",Fully ordered; no antisites detected to 1500°C,Neutron Rietveld,10.1017/s088571560001945x,"Kennedy, Powder Diffraction"
Y2Zr2O7,Pyrochlore,A/B antisite fraction,"(x=0.50, 25)",Fully disordered defect fluorite; cations randomly distributed; local pyrochlore-like short-range order persists,Neutron total scattering + PDF,10.1021/cm301649d,Blanchard et al. Chem. Mater. 2012
La2Ce2O7,Pyrochlore,A/B antisite fraction,"(x=0.50, 25)",Fully disordered defect fluorite; La3+/Ce4+ share sites randomly; entropically stabilized over pyrochlore,Neutron + synchrotron XRD,10.1103/PhysRevB.85.132101,Reynolds & Kennedy 2012
Pb2ScTaO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=0.98, 1000); (S=0.82, unknown); (S=0.55, 1500); (S~0, 1250-1500)",Controllable ordering; S→1 by annealing ~1000°C; S→0 by quenching from >1250°C; relaxor↔ferroelectric transition,XRD,10.1038/s41467-021-23354-y,Nouchokgwe 2021 (S=0.98); Zhu 2021 (S=0.55); Stenger 1980 (S~0)
Pb2ScNbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=0.9, 940-1200); (S~0, >1210)","Order-disorder transition at ~1210°C; ordered = ferroelectric, disordered = relaxor",XRD,10.1002/pssb.201349259,Bobnar 2013; Stenger & Burggraaf 1980
Pb2InNbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=0.3-0.4, unknown)",Notoriously difficult to order; pyrochlore competition; partially ordered at best,TEM superlattice reflections,10.1007/BF00540513,Baba-Kishi & Barber 1988
Pb2ScSbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; Sb5+ strongly drives complete ordering,Neutron Rietveld,10.1039/b821688f,Barreno et al. Dalton Trans. 2009
Pb2YSbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered; C2/c monoclinic at RT,Neutron + synchrotron XRD Rietveld,10.1021/ic500278y,Larregola et al. Inorg. Chem. 2014
Pb2LuNbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Pronounced long-range order; antiferroelectric,XRD + TEM,10.1039/C6RA26171J,Hu et al. RSC Advances 2017
Sr2AlNbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=0.4, 800); (S=0.6, 1000); (S=0.7, 1200); (S=0.8, 1400); (S=0.9, 1690)",Kinetically controlled ordering; S increases with annealing T (not thermodynamic disordering),XRD + neutron Rietveld (quenched),10.1557/JMR.1994.2118,Barnes & Woodward 1994
Sr2AlTaO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)",S increases monotonically with T (up to 1690°C); no quantitative values published per T,Kinetically controlled; same behavior as Sr2AlNbO6,XRD + neutron Rietveld,10.1557/JMR.1994.2118,Barnes & Woodward 1994
Ba2ScTaO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=0.51, unknown)",Low ordering due to similar Sc3+/Ta5+ ionic radii (Δr~0.1 Å),Luminescence + XRD,10.1021/acs.jpclett.4c00205,J. Phys. Chem. Lett. 2024
