Material Class,Material Formula
Double Perovskite,Ba2AlNbO6
Double Perovskite,Ba2CaMoO6
Double Perovskite,Ba2CaTeO6
Double Perovskite,Ba2CaWO6
Double Perovskite,Ba2CeSnO6
Double Perovskite,Ba2HfCeO6
Double Perovskite,Ba2HfSnO6
Double Perovskite,Ba2InBiO6
Double Perovskite,Ba2InNbO6
Double Perovskite,Ba2InSbO6
Double Perovskite,Ba2InTaO6
Double Perovskite,Ba2LuBiO6
Double Perovskite,Ba2LuNbO6
Double Perovskite,Ba2LuSbO6
Double Perovskite,Ba2LuTaO6
Double Perovskite,Ba2MgMoO6
Double Perovskite,Ba2MgTeO6
Double Perovskite,Ba2MgWO6
Double Perovskite,Ba2ScBiO6
Double Perovskite,Ba2ScNbO6
Double Perovskite,Ba2ScSbO6
Double Perovskite,Ba2TiCeO6
Double Perovskite,Ba2TiHfO6
Double Perovskite,Ba2TiSnO6
Double Perovskite,Ba2TiZrO6
Double Perovskite,Ba2YBiO6
Double Perovskite,Ba2YNbO6
Double Perovskite,Ba2YSbO6
Double Perovskite,Ba2YTaO6
Double Perovskite,Ba2ZnMoO6
Double Perovskite,Ba2ZnTeO6
Double Perovskite,Ba2ZnWO6
Double Perovskite,Ba2ZrCeO6
Double Perovskite,Ba2ZrHfO6
Double Perovskite,Ba2ZrSnO6
Double Perovskite,Bi2CaTiO6
Double Perovskite,Bi2MgHfO6
Double Perovskite,Bi2MgSnO6
Double Perovskite,Bi2MgTiO6
Double Perovskite,Bi2MgZrO6
Double Perovskite,Bi2ZnHfO6
Double Perovskite,Bi2ZnSnO6
Double Perovskite,Bi2ZnTiO6
Double Perovskite,Bi2ZnZrO6
Double Perovskite,Ca2AlBiO6
Double Perovskite,Ca2AlNbO6
Double Perovskite,Ca2AlSbO6
Double Perovskite,Ca2CaMoO6
Double Perovskite,Ca2CaTeO6
Double Perovskite,Ca2CaWO6
Double Perovskite,Ca2CeSnO6
Double Perovskite,Ca2GaNbO6
Double Perovskite,Ca2HfCeO6
Double Perovskite,Ca2HfSnO6
Double Perovskite,Ca2InNbO6
Double Perovskite,Ca2InSbO6
Double Perovskite,Ca2InTaO6
Double Perovskite,Ca2LuNbO6
Double Perovskite,Ca2LuSbO6
Double Perovskite,Ca2LuTaO6
Double Perovskite,Ca2MgTeO6
Double Perovskite,Ca2MgWO6
Double Perovskite,Ca2ScNbO6
Double Perovskite,Ca2ScSbO6
Double Perovskite,Ca2ScTaO6
Double Perovskite,Ca2TiCeO6
Double Perovskite,Ca2TiHfO6
Double Perovskite,Ca2TiSnO6
Double Perovskite,Ca2TiZrO6
Double Perovskite,Ca2YNbO6
Double Perovskite,Ca2YSbO6
Double Perovskite,Ca2YTaO6
Double Perovskite,Ca2ZnMoO6
Double Perovskite,Ca2ZnWO6
Double Perovskite,Ca2ZrCeO6
Double Perovskite,Ca2ZrHfO6
Double Perovskite,Ca2ZrSnO6
