Material Class,Material Formula,Disorder Parameter,Measurement Method,DOI,Notes
Spinel,MgAl2O4,x=0.05 (RT) to x=0.35 (1600°C),"In situ neutron powder diffraction, Rietveld",10.2138/am-1999-0313,"Redfern et al. Am. Mineral. 1999; in situ TOF neutron under vacuum to 1600°C; O'Neill-Navrotsky model: alpha=32.5 kJ/mol, beta=-17 kJ/mol"
Spinel,MgAl2O4,"x=0.05 (RT, synthetic) to x=0.29 (1260°C)","Neutron powder diffraction (TOF), Rietveld",inaccessible,"Peterson, Lager & Hitterman, Am. Mineral. 76, 1455-1458 (1991); synthetic MgAl2O4 heated in situ"
Spinel,MgAl2O4,"x~0.40 at 1600 K, 3.2 GPa",In situ neutron diffraction under pressure,10.2138/am-2004-0708,Meducin et al. Am. Mineral. 2004; pressure promotes inversion; alpha=31(6) kJ/mol
Spinel,MgAl2O4,Antisite pair energy = 0.73 eV,DFT + atomistic simulation,10.1016/j.solidstatesciences.2007.04.005,Ball et al. Solid State Sci. 2008; antisite defects are lowest-energy intrinsic process; normal ground state
Spinel,MgAl2O4,x=0.19 (1200°C) to x=0.13 (1500°C),"Neutron powder diffraction, Rietveld",10.3390/ma15186422,Corlett et al. Materials 2022; mechanical activation vs conventional synthesis
Spinel,MgGa2O4,x=0.88(3),"Neutron powder diffraction, Rietveld",inaccessible,"Millard & Peterson, Phys. Chem. Minerals; end-member of MgGa2O4-Mg2GeO4 study; largely inverse"
Spinel,MgGa2O4,x~0.82 (Ga on tet),"Single-crystal XRD, electron density",10.1016/0025-5408(96)00009-8,"Sawada, Mater. Res. Bull. 1996; anharmonic thermal parameter refinement; tet site Mg0.183Ga0.817"
Spinel,MgGa2O4,Inverse ground state,DFT,10.1111/j.1151-2916.1999.tb02241.x,"Sickafus, Wills & Grimes, J. Am. Ceram. Soc. 1999; seminal review; DFT predicts inverse ground state"
Spinel,MgIn2O4,x=1.0 (fully inverse),XRD,10.1111/j.1151-2916.1967.tb15002.x,"Datta & Roy, J. Am. Ceram. Soc. 1967; systematic study of equilibrium order-disorder in spinels"
Spinel,MgIn2O4,Fully inverse ground state,DFT,10.1111/j.1151-2916.1999.tb02241.x,"Sickafus, Wills & Grimes 1999; large In3+ ionic radius drives octahedral preference of Mg2+"
